"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"libcms:SM0805";1;"1n";;;
2;"C2";"libcms:SM0805";1;"2.2n";;;
3;"C3";"libcms:SM0805";1;"4.7n";;;
4;"C4";"libcms:SM0805";1;"10n";;;
5;"C5";"libcms:SM0805";1;"22n";;;
6;"C6";"libcms:SM0805";1;"47n";;;
7;"C7";"libcms:SM0805";1;"0.1u";;;
8;"R1,R2,R3,R4,R5,R6";"libcms:SM0805";6;"1M";;;
9;"R7";"libcms:SM0805";1;"10K";;;
10;"R8";"libcms:SM0805";1;"22K";;;
11;"R9";"libcms:SM0805";1;"47K";;;
12;"R10";"libcms:SM0805";1;"100K";;;
13;"R11";"libcms:SM0805";1;"220K";;;
14;"P1";"Connect:SIL-1";1;"Classic";;;
15;"P2";"Connect:SIL-1";1;"Boost";;;
16;"P3";"Connect:SIL-1";1;"Gnd";;;
17;"SW1";"Custom:Lorlin_CK_2p6t";1;"LORLIN_2X6";;;
